Timestamp,What ZIP Code do you live in?,"What brand of milk do you mainly buy? (Deans, Lucerne, etc.)",What color is the cap of the whole (3.25%) milk?,What color is the cap of the reduced fat (2%) milk?,What color is the cap of the low fat (1%) milk?,What color is the cap of the fat free (0%) milk?
11/15/2019 22:06:08,02215,fairlife,Red,Yellow,Dark Blue,Light Blue
11/15/2019 22:06:46,30064,2%,Red,Dark Blue,Light Blue,Purple
11/15/2019 22:15:21,69420,You have to rape cows to get their milk,Dairy is rape,Very rapey,They fist the cows ass,Stop the enslavement 
11/15/2019 22:15:29,69420,You have to rape cows to get their milk,Dairy is rape,Very rapey,They fist the cows ass,Stop the enslavement 
11/15/2019 22:21:21,63366,Prairie Farms,Red,Dark Blue,Purple,Pink
11/15/2019 22:22:12,89506,Sam's Club's Member's Mark,Red,Dark Blue,Light Blue,Light Green
11/15/2019 22:22:24,20879,Giant Food,Red,Purple,Light Blue,Light Blue
11/15/2019 22:22:53,31017,Great value,Red,Dark Blue,White,Unknown
11/15/2019 22:24:19,80045,Horizon Organic,Yellow,Pink,,Dark Blue
11/15/2019 22:26:30,80218,Simple Truth Organic (Kroger's organic brand),Red,Dark Blue,Purple,Light Blue
11/15/2019 22:35:50,42701,Great value,Red,Dark Blue,Light Blue,Pink
11/15/2019 22:41:01,55122,Kemp’s ,Red,Dark Blue,White,Pink
11/15/2019 22:44:30,95823,Kirkland Signature (Costco),Pink,Dark Blue,Lime Green,Yellow
11/15/2019 22:55:16,56744,Land o lakes,Red,Light Blue,Lime Green,Pink
11/15/2019 22:56:25,43207,Kroger ,Red,Dark Blue,Light Blue,Light Green
11/15/2019 22:59:39,91355,Store brand,We dont have that percent,Dark Blue,Light Blue,White
11/15/2019 23:03:01,48105,Store brand ,Red,Light Green,Dark Blue,Light Blue
11/15/2019 23:08:09,76201,Great Value ,Red,Dark Blue,Light Blue,Purple
11/15/2019 23:08:13,48170,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/15/2019 23:11:39,06415,store brand,Red,Light Blue,Lime Green,
11/15/2019 23:15:02,49017,Meijer store brand,Pink,Dark Blue,Light Blue,Pink
11/15/2019 23:21:21,98075,QFC,Red,Dark Blue,,
11/15/2019 23:28:39,99352,Store brand,Red,Dark Blue,Light Blue,Purple
11/15/2019 23:35:08,14260,Tops,Red,Light Green,Dark Blue,Light Blue
11/15/2019 23:37:44,95121,Oatly,White,Dark Blue,Light Blue,Pink
11/15/2019 23:41:39,84123,Win-Co Brand,Red,Dark Blue,Dark Blue,White
