"distance","probability","n"
14.2468370496186,0.415841584158416,101
37.0421324570684,0.26865671641791,67
64.2922840594463,0.233766233766234,77
87.2673431238444,0.291139240506329,79
112.923094782427,0.317647058823529,85
137.675358486578,0.262626262626263,99
162.332710424732,0.172043010752688,93
186.747912314254,0.263157894736842,95
213.859029397331,0.219512195121951,123
236.794302957629,0.311594202898551,138
263.263794906238,0.397058823529412,136
288.28734215749,0.278688524590164,122
312.691027736371,0.309677419354839,155
338.10605912981,0.308823529411765,204
363.020744650409,0.420353982300885,226
387.116399039611,0.329896907216495,194
412.092509123437,0.336538461538462,208
438.139511742191,0.294372294372294,231
462.616306802336,0.341708542713568,199
487.438714749154,0.273504273504274,234
512.281546215812,0.237154150197628,253
538.717013566399,0.233870967741935,248
561.470105768188,0.278969957081545,233
587.764533440838,0.291079812206573,213
613.01595079059,0.267206477732794,247
637.777480130551,0.257462686567164,268
663.034873896106,0.245733788395904,293
687.452773930999,0.325581395348837,258
711.835125787362,0.379310344827586,232
738.194751851266,0.305084745762712,177
762.526346043543,0.211382113821138,246
787.116788632377,0.271966527196653,239
813.791076037573,0.285067873303167,221
837.606447448287,0.283088235294118,272
862.007918989733,0.196850393700787,254
888.749061995345,0.208163265306122,245
912.166549683667,0.240601503759398,266
937.441327513551,0.270161290322581,248
962.166917407868,0.173584905660377,265
987.549507856396,0.186311787072243,263
1012.46426549327,0.209205020920502,239
1037.45448121342,0.275862068965517,261
1061.99826533656,0.253731343283582,268
1087.51026850703,0.220689655172414,290
1112.59086780499,0.204633204633205,259
1137.12008709069,0.194552529182879,257
1162.85115610739,0.217054263565891,258
1188.14011296822,0.149019607843137,255
1212.07228088453,0.12,200
1238.30192938052,0.172839506172839,162
1261.17175189434,0.136363636363636,242
1287.33386430459,0.172727272727273,220
1312.17838486002,0.141304347826087,184
1337.72267323328,0.133333333333333,180
1362.16205264263,0.159340659340659,182
1388.27872164382,0.180952380952381,210
1412.62495777331,0.223404255319149,188
1437.01872287329,0.217592592592593,216
1462.59468812314,0.246376811594203,207
1487.71558720325,0.24537037037037,216
1513.49752691087,0.206349206349206,189
1538.10988872925,0.135922330097087,206
1562.6992159402,0.129032258064516,217
1587.81703442631,0.0938775510204082,245
1611.47259554793,0.139393939393939,165
1637.98698676763,0.169312169312169,189
1662.223605746,0.186528497409326,193
1686.69805592652,0.159090909090909,132
1712.67948985049,0.255474452554745,137
1736.13036920051,0.238532110091743,109
1762.88052585029,0.237704918032787,122
1787.84878424672,0.258928571428571,112
1811.89539186984,0.231578947368421,95
1836.38423067293,0.16,125
1862.96866428421,0.122950819672131,122
1887.79258710568,0.206349206349206,126
1911.8748687393,0.198473282442748,131
1937.57589636109,0.112244897959184,98
1963.09292107143,0.186915887850467,107
1987.22574953587,0.168141592920354,113
2012.27461629583,0.244897959183673,98
2036.97510727882,0.215909090909091,88
2061.99078164026,0.104166666666667,96
2088.92405207469,0.174418604651163,86
2112.66653356173,0.166666666666667,78
2136.8368356775,0.224489795918367,98
2162.93039000806,0.201754385964912,114
2185.96887713146,0.12621359223301,103
2212.92743075673,0.173076923076923,104
2237.69518029516,0.170542635658915,129
2261.09662700759,0.186274509803922,102
2287.08103945738,0.152380952380952,105
2311.75149733564,0.166666666666667,102
2339.78983730187,0.168539325842697,89
2363.02282884455,0.12,100
2386.09238051184,0.156521739130435,115
2412.93353157892,0.119047619047619,126
2437.04242209604,0.139393939393939,165
2460.78970602953,0.186915887850467,107
2486.99570700571,0.141666666666667,120
2512.8454152548,0.214953271028037,107
2537.35074619866,0.138613861386139,101
2562.77665973187,0.2,90
2588.29230915335,0.0964912280701754,114
2612.35156767124,0.173076923076923,104
2636.06253529435,0.11340206185567,97
2662.47024458404,0.15,100
2686.31578229534,0.204081632653061,98
2714.31450978765,0.158415841584158,101
2738.4700153179,0.142857142857143,112
2762.20884625338,0.147058823529412,136
2787.39660778902,0.163934426229508,122
2812.23125096766,0.180851063829787,94
2838.16029380874,0.0967741935483871,62
2862.67428508428,0.135593220338983,118
2887.51994427877,0.153846153846154,117
2910.67903249625,0.153153153153153,111
2936.72067885604,0.130841121495327,107
2962.20950174067,0.217821782178218,101
2986.56770284645,0.117117117117117,111
3013.79604025091,0.21978021978022,91
3038.24770997712,0.155339805825243,103
3061.94775044183,0.130952380952381,84
3086.73467048185,0.179487179487179,78
3112.39677224381,0.146067415730337,89
3136.18680666168,0.107142857142857,112
3160.93175364538,0.137931034482759,87
3186.98223447789,0.125,80
3213.24387760074,0.130434782608696,69
3237.71578508552,0.115384615384615,78
3263.35742613816,0.11965811965812,117
3286.4006631967,0.164835164835165,91
3312.75489290949,0.195652173913043,92
3337.89781485237,0.181818181818182,88
3363.85249658303,0.08,75
3388.39033108271,0.142857142857143,119
3412.82242772243,0.0934579439252336,107
3436.18119357393,0.171428571428571,105
3463.07077284878,0.146551724137931,116
3486.73747758267,0.0823529411764706,85
3509.9818987108,0.123287671232877,73
3536.53593090191,0.137254901960784,51
3562.3447751738,0.142857142857143,56
3589.37232474621,0.144927536231884,69
3612.15302508802,0.0675675675675676,74
3636.09789602543,0.171052631578947,76
3663.41290402788,0.182926829268293,82
3687.32826527238,0.0535714285714286,56
3712.11511334245,0.253333333333333,75
3737.54024527322,0.186666666666667,75
3761.60370792422,0.103896103896104,77
3786.91511713191,0.166666666666667,90
3811.73113363601,0.111111111111111,81
3838.23176632912,0.158730158730159,63
3862.32017773592,0.123711340206186,97
3888.60137703059,0.125,88
3912.93137212499,0.0967741935483871,62
3938.42813571667,0.171428571428571,70
3961.30293776484,0.121212121212121,33
3986.73467044054,0.0416666666666667,24
4015.69759640471,0.0416666666666667,24
4036.80593226904,0.0869565217391304,23
4060.46563184762,0.0689655172413793,29
4087.6542739068,0.0645161290322581,31
4123.68209294052,0.156565656565657,29
4233.83362651583,0.0833333333333333,20
4364.44537564795,0.037037037037037,25
4702.34998388846,0.133333333333333,18
